,CUSTOMER_ID,COLLEGE,DATA,INCOME,OVERCHARGE,LEFTOVER,HOUSE,LESSTHAN600k,CHILD,JOB_CLASS,REVENUE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,TIME_CLIENT,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,CHURNED
0,C114818,one,285.7142857142857,55575.0,152,34,830114.0,False,1,3,180.0,356,15,2.4,1,unsat,very_high,considering,0
1,C102849,one,630.0,61718.5,0,7,275633.0,True,0,4,118.0,785,19,3.1,6,very_unsat,very_high,considering,0
2,C102567,one,90.00000000000001,65655.5,0,16,903912.0,False,1,4,164.0,695,0,1.3,1,very_unsat,high,considering,0
3,C100272,one,424.9291784702549,57122.0,173,8,730144.0,False,2,2,140.0,335,26,5.0,4,very_unsat,little,considering,0
4,C109798,one,389.61038961038963,64401.0,54,0,692355.0,False,2,1,110.0,691,1,2.0,10,very_unsat,very_little,considering,0
5,C106761,zero,352.9411764705883,54401.0,0,24,683542.0,False,2,2,169.0,538,0,5.0,5,sat,very_little,considering,0
6,C110601,one,68.47826086956522,48801.5,0,82,991770.0,False,3,2,185.0,251,0,2.1,1,very_unsat,little,considering,0
7,C109771,one,520.0,17387.5,0,5,448441.0,True,4,2,167.0,201,1,1.6,4,very_unsat,high,actively_looking_into_it,0
8,C108673,one,539.9999999999999,22421.5,0,0,715106.0,False,1,1,103.0,234,1,2.8,12,unsat,high,no,0
9,C104552,zero,161.53846153846158,46569.5,0,42,247270.0,True,3,3,143.0,391,1,2.8,2,sat,very_high,never_thought,0
10,C113843,one,314.0495867768595,17741.0,53,21,462216.0,True,2,1,150.0,157,4,1.8,6,very_unsat,very_little,considering,1
11,C113916,zero,294.8717948717949,49075.0,74,6,507497.0,True,3,1,169.0,369,5,1.3,6,very_unsat,little,never_thought,0
12,C101713,one,95.23809523809523,64482.5,215,13,419225.0,True,1,3,178.0,287,29,2.0,14,sat,little,actively_looking_into_it,0
13,C105644,one,154.83870967741933,50913.5,225,14,812665.0,False,2,4,142.0,300,21,3.4,5,very_sat,very_high,actively_looking_into_it,0
14,C103579,zero,600.0,24349.5,0,0,993908.0,False,4,3,86.0,156,1,3.0,13,very_unsat,little,actively_looking_into_it,0
